feature,PC,correlation,p_value
Exon length,PC1,-0.6508231624293564,1.0839790604556844e-246
Exon length,PC2,0.2870721179954426,4.284034656660404e-40
Exon number,PC1,-0.016908668030581536,0.4447329164157531
Exon number,PC2,-0.40872802981403683,3.48276153459282e-83
Linear fit R²,PC1,-0.15796907165041507,6.74973791641987e-13
Linear fit R²,PC2,0.6560633980779685,5.361930903142614e-252
Linear fit RSE,PC1,-0.23412537059242267,7.316354585306466e-27
Linear fit RSE,PC2,0.3075031171836697,4.897231328740249e-46
