exon_length,dms_intercept,dms_slope,dms_r,dms_n,dms_slope_se,dms_intercept_se,tcga_slope,tcga_intercept,tcga_r,tcga_n,tcga_slope_se,tcga_intercept_se,pred_slope,pred_intercept,pred_slope_se,pred_intercept_se
500bps,0.8016170860376113,0.18257266875017936,0.6352670206162793,28,0.043528593684012906,0.1391316737019887,0.026540373011298125,0.1089898474357609,0.041399534086598126,119,0.05921696503171067,0.17219232307834195,0.061379765590052565,0.4079885051558389,0.0209714773765888,0.060981298280416096
750bps,0.6520417694731453,0.06940623998521252,0.575460285519363,49,0.01438789048321986,0.06766964714703445,0.04274731537724608,0.29772064484244476,0.1120315361838613,163,0.02988222552117543,0.12499260926840172,0.06545442917974341,0.3659549419040312,0.010190977063564853,0.0426272405067941
1000bps,0.6215195855358889,0.04940822250754518,0.46658279506876155,68,0.011528832901064661,0.07642499662942763,0.02877668326903823,0.17072017120549984,0.1191821848190581,163,0.018893390259360605,0.10145958860447221,0.0657487028012728,0.3121055374256229,0.006522429135297544,0.03502616352516436
1500bps,0.6862383170394637,0.054152727088326504,0.6511818605769991,108,0.006130022808322896,0.057651075701214756,0.027690990036401384,0.2746464234105899,0.15448943037539145,187,0.013019920978961125,0.1090343338978435,0.04582863529159409,0.26615653589914023,0.003951611916961964,0.033092472211233584
2500bps,0.23523799914800197,0.01884724174159684,0.44296126166289074,173,0.002917118245278437,0.04907123435028266,0.030812208625605186,0.3902328831112699,0.3264680605919929,55,0.012253825510747364,0.15488949487528253,0.030853216911909946,0.2666723169234048,0.004233449256192404,0.053511192590157075
3000bps,0.03427583559012752,0.008400831215044376,0.27325098481633875,214,0.002031149214606239,0.043318150561622686,0.004525060196700727,-0.309821137271579,0.04835933463498017,61,0.01216773149357146,0.17969202295221468,0.019369077748257628,-0.049749320659523484,0.004201448580098254,0.062046634994077116
3426bps,-0.20537630793527273,0.0019041338929180354,0.0707819440611914,239,0.0017430512777541968,0.04244809642425185,0.01037551192358553,0.08290200063188938,0.14321106007996454,99,0.007280265903801948,0.1509175238656603,0.015107987804713317,0.08263262656502533,0.0017131972314297285,0.03551401658638001
