relative_position,PC1_loading,PC2_loading,PC3_loading,PC1_variance_explained,PC2_variance_explained
0.0,0.8703326156680175,-0.3950538293934211,0.1925025113553338,0.8754410359185252,0.0783563026754203
0.0204081632653061,0.881780908520679,-0.3955926516203796,0.1744295418477627,0.8754410359185252,0.0783563026754203
0.0408163265306122,0.8905295405252109,-0.3910871808579472,0.1633299086324779,0.8754410359185252,0.0783563026754203
0.0612244897959183,0.8977428510869674,-0.3887264668718842,0.1549489635750921,0.8754410359185252,0.0783563026754203
0.0816326530612244,0.9079290671158964,-0.3777864579897799,0.1410275782355184,0.8754410359185252,0.0783563026754203
0.1020408163265306,0.9154926196272488,-0.368179719983123,0.1303857962546806,0.8754410359185252,0.0783563026754203
0.1224489795918367,0.9235929712056128,-0.3555385521462029,0.1165246638600159,0.8754410359185252,0.0783563026754203
0.1428571428571428,0.9298619230235808,-0.3431870686418296,0.1046450910933122,0.8754410359185252,0.0783563026754203
0.1632653061224489,0.9363992829782728,-0.3303978100269226,0.0891189062787602,0.8754410359185252,0.0783563026754203
0.183673469387755,0.9419195603313943,-0.315475443914287,0.0781317810507313,0.8754410359185252,0.0783563026754203
0.2040816326530612,0.9481236951343512,-0.2985624870952066,0.0603045089176772,0.8754410359185252,0.0783563026754203
0.2244897959183673,0.9534049063689488,-0.2797871185966422,0.0409872616127909,0.8754410359185252,0.0783563026754203
0.2448979591836734,0.958016993749169,-0.2626156770089811,0.0271642066477456,0.8754410359185252,0.0783563026754203
0.2653061224489795,0.9615984985827896,-0.2474046311799418,0.0124280836570447,0.8754410359185252,0.0783563026754203
0.2857142857142857,0.9654684506635476,-0.2291023918899418,-0.006685927675038,0.8754410359185252,0.0783563026754203
0.3061224489795918,0.96920565775015,-0.2081709912848466,-0.0208112901918786,0.8754410359185252,0.0783563026754203
0.3265306122448979,0.9720980149297166,-0.1902493159333624,-0.0365922614915526,0.8754410359185252,0.0783563026754203
0.3469387755102041,0.974428263989906,-0.1699040247147573,-0.0525161686102658,0.8754410359185252,0.0783563026754203
0.3673469387755101,0.9765522175062266,-0.1513743700481606,-0.0670228212999726,0.8754410359185252,0.0783563026754203
0.3877551020408163,0.9779177002737248,-0.1325246913462542,-0.0798543988713644,0.8754410359185252,0.0783563026754203
0.4081632653061224,0.9791434615823787,-0.1080171834144307,-0.0982437005072099,0.8754410359185252,0.0783563026754203
0.4285714285714285,0.9800363740654908,-0.0843994035991451,-0.1112415136045885,0.8754410359185252,0.0783563026754203
0.4489795918367346,0.980731024016246,-0.0583599296125732,-0.1269725760965661,0.8754410359185252,0.0783563026754203
0.4693877551020408,0.9799268936962507,-0.0372194694340591,-0.1387321777492447,0.8754410359185252,0.0783563026754203
0.4897959183673469,0.9793640561762278,-0.0137747009134989,-0.1474799950516487,0.8754410359185252,0.0783563026754203
0.5102040816326531,0.9786343834343774,0.0099804135898195,-0.1553001547761853,0.8754410359185252,0.0783563026754203
0.5306122448979591,0.9775498036708856,0.0375896952988448,-0.1639123821753303,0.8754410359185252,0.0783563026754203
0.5510204081632653,0.9760251305922342,0.0611822810111613,-0.1684025513968393,0.8754410359185252,0.0783563026754203
0.5714285714285714,0.973431961807048,0.0838827820284385,-0.1727782559829016,0.8754410359185252,0.0783563026754203
0.5918367346938775,0.9711770690985928,0.10768879646313,-0.1739185000444028,0.8754410359185252,0.0783563026754203
0.6122448979591836,0.9684542246265744,0.1296573160574891,-0.1739764865700008,0.8754410359185252,0.0783563026754203
0.6326530612244897,0.9645518401160008,0.1537793167518516,-0.1715357730197168,0.8754410359185252,0.0783563026754203
0.6530612244897959,0.9620985392312176,0.1754032980500969,-0.1643153130223136,0.8754410359185252,0.0783563026754203
0.673469387755102,0.9593849671896906,0.19509267900207,-0.1536160242572861,0.8754410359185252,0.0783563026754203
0.6938775510204082,0.956496091012972,0.2131560563260822,-0.1416143830300418,0.8754410359185252,0.0783563026754203
0.7142857142857142,0.9513868841857516,0.2372200867365636,-0.1263550902479338,0.8754410359185252,0.0783563026754203
0.7346938775510203,0.9478525744167045,0.2529414426192999,-0.1059045960748663,0.8754410359185252,0.0783563026754203
0.7551020408163265,0.9438972442319856,0.269037308028458,-0.0854272780240467,0.8754410359185252,0.0783563026754203
0.7755102040816326,0.9397272792822016,0.2857625737130752,-0.0629810627723324,0.8754410359185252,0.0783563026754203
0.7959183673469387,0.9365795880061322,0.2959003368422921,-0.0400891748483245,0.8754410359185252,0.0783563026754203
0.8163265306122448,0.929699429593863,0.31678897254225,-0.0089480630157645,0.8754410359185252,0.0783563026754203
0.836734693877551,0.9230583540629962,0.3301704770340614,0.024692787776297,0.8754410359185252,0.0783563026754203
0.8571428571428571,0.9184448905364712,0.3444674896533686,0.0610415609405092,0.8754410359185252,0.0783563026754203
0.8775510204081632,0.9089949285869016,0.3582782257911027,0.1032271822087636,0.8754410359185252,0.0783563026754203
0.8979591836734693,0.8977911230140494,0.3801773974164155,0.1472861387876763,0.8754410359185252,0.0783563026754203
0.9183673469387754,0.8822646127048394,0.3981111847619846,0.1988402735293447,0.8754410359185252,0.0783563026754203
0.9387755102040816,0.8611680463703125,0.4175216080129807,0.2539364439270098,0.8754410359185252,0.0783563026754203
0.9591836734693876,0.8318198933119539,0.4320615906584211,0.3074295883872974,0.8754410359185252,0.0783563026754203
0.979591836734694,0.7904121343744228,0.4416898087033394,0.3534678983743523,0.8754410359185252,0.0783563026754203
1.0,0.720364473449043,0.4396151356776031,0.3861842427366815,0.8754410359185252,0.0783563026754203
