gene_symbol,ac_total,n_variants,ac_nmd_triggering,n_triggering,ac_nmd_evading,n_evading,ac_synonymous_nmd_triggering,ac_synonymous_nmd_evading,n_synonymous_variants_nmd_triggering,n_synonymous_variants_nmd_evading,log_odds_t1,se_log_or_t1,ci_lower_t1,ci_upper_t1,z_score_t1,p_value_t1,n_rare_t2,n_common_t2,af_split_t2,ac_rare_triggering_t2,ac_rare_evading_t2,ac_common_triggering_t2,ac_common_evading_t2,n_rare_triggering_t2,n_rare_evading_t2,n_common_triggering_t2,n_common_evading_t2,log_odds_t2,se_log_or_t2,ci_lower_t2,ci_upper_t2,z_score_t2,p_value_t2,p_value_combined,p_value_fdr_t1,p_value_fdr_t2,p_value_fdr_combined
ABCB4,29,21,29.0,21.0,0.0,0.0,171460.0,2793.0,550.0,57.0,-0.03952018555561487,1.426275608429076,-2.8349690101045564,2.7559286389933266,-0.027708659758364004,0.9778945168682718,11,10,6.57393e-06,11,0,18,0,11,0,10,0,0.4754236967150748,2.034947315237715,-3.5129997515873224,4.463847145017472,0.23362948669731903,0.8152726340883779,0.9778966090020524,0.980641411578576,,0.982022755031597
ABCB6,54,13,54.0,13.0,0.0,0.0,14668.0,118970.0,426.0,170.0,6.784521108010631,1.420712920541929,3.9999749513777347,9.569067264643529,4.7754342273614885,1.7931989474680142e-06,7,6,6.57575e-06,7,0,47,0,7,0,6,0,1.8458266904983307,2.038231087220554,-2.1490328326238726,5.840686213620534,0.9056022656466315,0.3651464091725197,9.978172737996345e-06,8.592913077128605e-06,0.5688596690266623,4.215630375697864e-05
ABCC11,460,30,460.0,30.0,0.0,0.0,207784.0,54306.0,792.0,64.0,5.48360247644154,1.4149893212814997,2.710274368221025,8.256930584662054,3.87536668578902,0.00010646425528030712,15,15,6.57402e-06,15,0,445,0,15,0,15,0,3.358357222985663,2.01662113396235,-0.5941475700428662,7.310862016014193,1.6653387026580488,0.09584520118163316,0.00012747683562051813,0.0003781864590554193,0.27279018797849436,0.0004550923031652497
ABCC2,149,30,148.0,29.0,1.0,1.0,130292.0,171973.0,793.0,53.0,4.872678322314573,0.8206181592488123,3.264296285127346,6.4810603595018,5.937814399299896,2.888467672617112e-09,15,15,6.57333e-06,14,1,134,0,14,1,15,0,3.3260278382834745,1.6562207365402608,0.07989484421616178,6.572160832350788,2.008203233363286,0.04462169956979975,3.0639431672449293e-09,1.7627059130330066e-08,0.18344476489806563,1.9532637691186426e-08
ABCC6,258,25,258.0,25.0,0.0,0.0,720004.0,474.0,929.0,59.0,-1.0767082484142954,1.4163252954012093,-3.8526548177937188,1.699238320965128,-0.7602125386804527,0.4471275512427698,13,12,6.58189e-06,13,0,245,0,13,0,12,0,2.9006072617901917,2.01944234724086,-1.0574270076569232,6.858641531237307,1.4363407134416375,0.15090541429643,0.2493846918546897,0.5311964585479828,,0.33723611739440995
ABCC8,18,15,18.0,15.0,0.0,0.0,379988.0,9911.0,825.0,63.0,-0.03552737731224376,1.433233260364421,-2.844612949071427,2.7735581944469394,-0.024788272987197067,0.9802238449863035,8,7,6.57091e-06,8,0,10,0,8,0,7,0,0.21130909366720696,2.0525314014800418,-3.811578530371197,4.234196717705611,0.10295048032631118,0.9180022730066039,0.9948084066719476,0.9815986329876869,,0.9948084066719476
ABCG2,108,13,108.0,13.0,0.0,0.0,20477.0,12682.0,317.0,67.0,4.900793721591548,1.417513411843202,2.1225184867763787,7.6790689564067165,3.4573173563268185,0.0005455819317606922,7,6,1.3148e-05,9,0,99,0,7,0,6,0,2.348865845558052,2.02862352573143,-1.6271632030662144,6.324894894182318,1.1578618781477243,0.24692040674105842,0.0013353448971105291,0.001716059468181208,0.4483953398487932,0.00393981924188809
ABCG5,41,14,39.0,13.0,2.0,1.0,7606.0,44930.0,377.0,87.0,4.536123646554014,0.6522807515183996,3.2576768657692305,5.814570427338797,6.95425035307984,3.5444168982632828e-12,7,7,1.31403e-05,6,2,33,0,6,1,7,0,3.24918117436353,1.6073882232101897,0.09875814769772884,6.399604201029331,2.0214041184614624,0.04323794872507443,4.675250514298975e-12,2.90886628202297e-11,0.18025961722002862,3.881545194429614e-11
ABCG8,172,11,158.0,8.0,14.0,3.0,143547.0,143592.0,479.0,79.0,2.391919379847958,0.27438767463859637,1.854129419754615,2.9297093399413012,8.71729892021725,2.8491720385632497e-18,6,5,1.31416e-05,6,2,152,12,4,2,4,1,1.5459245067117744,0.8002521670669404,-0.022540919289559147,3.1143899327131077,1.9317967140005998,0.053384601838153016,6.742637755255646e-18,3.5074290267830345e-17,0.2004159804916878,7.892202225004149e-17
ABHD12,22,11,10.0,6.0,12.0,5.0,143109.0,932.0,178.0,75.0,-5.207849586109679,0.4199017372593041,-6.030841868183716,-4.384857304035643,-12.402543557217172,2.5315795166706225e-35,6,5,6.57082e-06,4,2,6,10,4,2,2,3,-1.0673597451640053,0.9334379847137523,-2.8968645770046093,0.7621450866765986,-1.1434715135267626,0.25284287548666573,5.251097260482505e-34,6.952106826549325e-34,0.4510663656313251,1.3886234977720404e-32
