AUG_presence,fitness
yes,1.09596790829149
yes,0.526400702135646
yes,1.06856315149485
yes,1.06899107400599
yes,1.31599416681038
yes,1.06700927620977
yes,1.14499189891649
yes,1.24425960775328
yes,0.908751927532326
yes,1.09635449753849
yes,1.01999976962355
yes,0.854497673344692
yes,1.00321734861671
yes,0.835714715899792
yes,0.667295858068599
yes,0.860986810443647
yes,0.966178948202144
yes,0.983754241565605
yes,1.45121255828889
yes,1.68355237295637
yes,1.62724724849924
no,0.847468512432598
yes,1.26748489675631
yes,0.949946360246908
yes,0.882964366127183
yes,1.07417413804273
yes,0.985738207197366
yes,1.43109763542611
yes,1.62070744796716
yes,1.63107167963191
yes,1.9616208451661
yes,1.51227662279201
yes,1.4935805066682
yes,1.35447930046869
yes,1.07092453967239
yes,1.44656851050348
yes,1.36307389413316
yes,1.31791394362796
yes,1.36996473578308
yes,1.38234278328851
yes,1.74017851455428
yes,1.76515783962679
yes,1.23609080982191
yes,1.9504265742279
no,1.19850327455199
yes,1.9664706799588
yes,1.24414432812473
yes,1.61008776653589
yes,1.45920586669683
yes,1.32607904534237
yes,1.34925468967809
yes,1.36421936880618
yes,1.18331489286806
yes,0.892866663756324
yes,1.34259896065551
yes,1.48946758633903
yes,1.68429781790888
yes,1.52879990960074
yes,2.05126143994044
no,1.12938134995746
yes,1.20339713571737
yes,0.918384203828151
yes,1.51100004902683
yes,1.77168746154998
no,0.79888117781279
yes,1.74959619670389
yes,1.40256573508009
yes,1.61063602201791
yes,1.46922704011372
yes,1.42873376921616
yes,1.0185474632573
yes,1.18087994104075
yes,1.44608718722647
yes,0.728806146695247
yes,1.17903410392703
yes,1.23146886408902
yes,0.870666120414595
yes,1.15838167049613
yes,1.15830856600004
yes,0.649626382371449
yes,1.25370362842947
yes,1.35519578935229
no,0.811696491475884
yes,1.72135128458373
yes,1.86431412694785
yes,1.32692182175168
yes,1.30197610621035
yes,1.62062283674561
yes,1.34836284031725
yes,1.3061633529312
yes,1.38503196101054
yes,0.96661437413805
yes,-0.0802748065850886
yes,0.13761931984295
yes,0.664417559961303
yes,0.519138840917737
yes,1.15380647274951
no,0.138864786106801
yes,0.911222093924498
yes,0.246630642785101
yes,0.80545081864568
yes,0.0383579394789496
yes,-0.444095076214365
yes,0.388570814638072
yes,0.856831245794873
yes,0.206545319173302
yes,0.88572914416547
yes,1.01673324182741
yes,0.48924160769337
yes,-0.12070528754054
yes,0.833531782001622
yes,1.11453720058265
yes,-0.167466009800013
yes,0.24037079230613
yes,1.13189904288833
yes,1.10798764606856
no,0.0816502211454816
yes,1.09885506001281
yes,0.502058698922518
yes,0.474299067643216
yes,0.537366817691057
yes,0.32688204839692
yes,0.697305404048864
yes,1.18536000176515
yes,0.488491047836185
yes,1.17289798151186
no,0.426188191911616
yes,0.348672067643301
yes,0.224316765392338
yes,0.446105480358198
no,-0.178151864760486
yes,0.50696728680613
yes,0.599761457003054
yes,0.39455589915311
yes,0.217404695704677
yes,0.6111074590924
yes,1.01667093553995
yes,1.19956376864678
no,0.628412950536412
yes,0.924393444576642
yes,-0.797509576950999
yes,0.264152927782998
no,-0.415057232375369
yes,0.187049070396299
yes,0.515487442320378
yes,-0.35181139887309
yes,0.531897265521242
yes,0.426933145345904
no,-0.627783488265333
yes,-0.332673617991599
yes,-0.0134014410738048
no,-0.441516951154915
yes,-0.715141127792362
yes,-0.20210942816833
no,-0.265693376681477
yes,-0.367658317202574
no,-0.867319590413308
yes,-0.377762719304401
no,-0.296365632776276
yes,-0.780352112955716
no,-0.306004814784507
yes,-0.14352537131451
no,-0.364190100027947
yes,-0.305939532006857
yes,-0.114433537674754
no,-0.503877258531471
yes,-0.761547685507734
no,-0.7501340581647
yes,-0.901234735373767
yes,-0.537056423807763
no,-0.315413305613225
yes,-0.414238986975121
no,-0.483625526675225
yes,-0.785869863673512
yes,-0.474794188683491
yes,-1.00244538247993
yes,-0.389163492038902
no,-0.0799206483905483
yes,-0.0319651406794199
yes,-0.1998287987264
no,-0.53019609548859
yes,-0.257026838733204
yes,-0.811536135764148
yes,-0.250824077378314
no,-0.485059772022543
yes,-0.970638964277224
yes,-0.478832947176816
no,-0.704263763537073
yes,-0.0503256886711223
yes,-1.01485513171729
yes,-0.658825098951216
no,-0.900597423383671
yes,-0.666532976386668
yes,-0.737664206360084
yes,-0.0555882712511927
yes,-0.125095460800963
no,-0.867471167222045
yes,-0.100578052969719
yes,-0.16232262198083
no,-0.616756443207749
yes,0.107996583015639
yes,-0.218950970429224
no,-0.417353544028611
yes,0.221232722908196
yes,-0.0096225328918912
yes,-0.0804744685991219
yes,-0.162242606924523
no,-0.0485048325078366
yes,0.0681502641351635
yes,-0.400278552346577
yes,0.446733307655497
no,-0.813427251218427
yes,0.376604973990512
yes,-0.209236239374103
yes,0.101451117706379
yes,0.159573993673846
yes,0.410702936243426
no,-0.247639614623724
yes,0.216776671953562
yes,-0.662927413712929
no,-0.908071553875129
yes,-0.217971521375505
yes,-0.383152402756768
yes,-0.747817757761166
yes,-0.479338326897728
yes,-0.758107198958327
yes,-0.496443958607821
no,-1.24596234504319
yes,-0.644309818917907
yes,-1.11409176262204
yes,-0.840340054839716
no,-1.51172733068694
yes,-0.529254936729891
yes,-0.494769398606638
yes,-0.869253006701195
yes,-0.662456135947743
yes,-0.118586051679045
no,-0.821460558421014
yes,0.365119930292729
yes,-0.229744576941384
yes,-0.539438292304076
yes,-0.692342985097913
yes,-0.0918069187003717
yes,0.0195167144215279
yes,-0.649375984959484
yes,-0.567166635138886
yes,0.0587399601935851
yes,0.167047417114095
yes,0.116719150117049
yes,0.0652450277070517
yes,0.403873991911575
no,-0.465087602698602
yes,0.231670238886918
yes,0.0893260306706023
yes,-0.219192007394544
yes,0.308728836370293
yes,-0.161927723171786
yes,-0.24391296138185
yes,0.110256116464747
yes,-0.219747501235363
yes,-0.326736065126482
yes,-0.0071192084594103
no,-0.651209614535921
yes,-0.29914256375
yes,-0.476476464177229
yes,0.0629842325943259
yes,0.0140975074488894
yes,0.703384345486071
no,0.0955954027855153
yes,0.0844027082832624
yes,0.115735756115606
yes,0.0283032349478212
yes,-0.174267355009236
yes,0.307421068116218
yes,0.437138278809781
no,-0.397724306805449
yes,0.123416188042115
yes,-0.705041987638219
yes,-0.102676088739005
no,-0.676039816964251
yes,0.467108659046417
yes,-0.665450405143961
yes,-0.721609241514924
yes,0.158125846711376
yes,0.255170897604899
no,-0.240832806546126
yes,0.421115792700182
yes,0.21808068824071
yes,-0.057802329009287
yes,0.0045321295550077
no,-0.293803799556355
yes,0.511628504003176
yes,-0.043133770869562
yes,0.18300254502576
yes,0.399943088070096
yes,-0.52304643212603
yes,0.776525926464183
yes,0.533888808859905
yes,0.361803916551673
yes,0.269762093902977
yes,0.551669925283615
yes,0.211790279749942
yes,-0.515461455448146
yes,-0.173864089714338
yes,0.388895237457736
yes,0.368859934960513
yes,0.588626324838744
no,-0.0619698177262078
yes,0.25457819624281
yes,0.177326154354054
yes,0.532520059274827
yes,-0.191843142297381
yes,0.724329558854533
yes,0.392764724852933
yes,-0.04708357935688
yes,0.346249207813732
yes,-0.0155153891185558
yes,0.216775676391749
no,0.0699693397607907
yes,0.641142277540732
yes,0.507621425740333
yes,0.31562197405844
yes,0.945042787975297
yes,1.24946679312236
no,0.340706670172064
yes,0.252477027516025
yes,0.940805502856627
yes,0.922426954462275
yes,0.399689543916076
yes,0.680334941594142
yes,0.694533905355
yes,0.282795386675888
yes,1.23840083930515
no,0.563524067420411
yes,1.35786259184077
yes,1.12934565020571
yes,1.08098657461948
yes,1.21654852591059
yes,1.04901926854226
no,0.51898126440536
yes,1.31664779194677
yes,0.82378451481833
yes,0.458370990038376
yes,0.516321585198865
no,-0.0489131442963242
yes,0.904830511150735
yes,0.873539801145039
yes,0.461052872877316
yes,0.240516129176059
yes,-0.232073566020933
yes,-0.344701547947739
yes,-0.584917690351159
yes,-0.457219311714332
no,-0.865239084550031
yes,0.391638983344515
yes,-0.339032181802983
yes,0.94272181895178
yes,0.0214334404554857
yes,0.460331800967665
yes,1.01212802930524
yes,0.239875519153329
yes,0.884169437691815
yes,0.354767130555576
yes,-0.0563024735208458
yes,0.554724985479372
yes,1.17323250176772
yes,0.270225624196774
yes,0.868284335844978
yes,1.15417611364246
yes,0.913415484286531
no,-0.0296305911243538
yes,0.729732071996587
yes,0.884832570785514
yes,0.79083049156494
yes,0.352348823607963
yes,0.781259312059983
yes,0.447647058377897
yes,0.66334601498236
yes,0.421140924196131
yes,-0.755666288387409
yes,-0.349026815562441
no,-1.00734028441252
yes,0.0517201200097067
yes,0.14418460976514
yes,-0.0862273471914785
yes,-0.80056967528365
yes,0.254394015241973
yes,-0.233764780772696
yes,1.05463202141874
no,0.178397180586952
yes,0.583521910888722
yes,0.782662702542845
yes,0.281609139152309
yes,-0.743812935564666
yes,0.546507954731554
yes,-0.353276572374344
yes,0.622145908878446
yes,-0.144854658634159
yes,0.680336353403937
no,-0.267837799869445
yes,0.299558199706697
yes,0.221612584625465
yes,1.08482483552237
yes,0.404661609715079
yes,0.482476326022934
yes,0.377775653609987
yes,0.690549025670904
yes,0.913061306131854
yes,0.924702981433956
yes,0.557843891812716
yes,0.860234759671567
yes,0.697138273894459
yes,1.31352405999342
yes,0.958494048326757
yes,1.38563606525178
no,0.197880944153697
yes,0.812735264978629
yes,1.13301090015703
yes,0.262109242555101
yes,0.829819391681456
yes,0.560851656743081
yes,0.576028278879733
yes,1.00945713552524
yes,0.900562040153893
yes,0.667482687275374
yes,0.872027669667635
yes,0.60320280247151
yes,1.16239560324559
no,0.475873616788257
yes,1.34921579521458
yes,1.16062317968962
yes,1.07957216793999
yes,1.21176949033726
yes,1.30755426282374
yes,1.28862558051936
yes,1.73851907329252
yes,1.5721956805831
no,0.980873988630434
yes,1.44590690150529
yes,1.33769756583313
yes,0.939967445959649
yes,0.981987646087197
yes,1.48403092936531
yes,1.20814240044889
yes,1.11912537914972
yes,2.04640122540746
no,0.940529563258213
yes,1.21246243483444
yes,1.06652324694
yes,1.34133129827568
yes,1.08052980784115
yes,1.02651640458655
yes,1.09478500166872
yes,0.620401723856272
yes,0.757125451515993
yes,0.959374389038246
yes,0.913089877778658
yes,1.06768925523218
yes,1.01735671082425
yes,1.08628533879945
yes,1.47400720904769
yes,0.839621691909849
yes,1.11892444215655
no,0.724056909203031
yes,1.4968375794912
yes,1.52942320096867
yes,1.7373671893581
yes,0.964543625560997
yes,1.24179489195135
yes,1.27487224902513
yes,1.18520866089136
yes,1.43042254027673
yes,0.95409175387421
yes,1.11208688006844
yes,1.25070951506475
no,0.904399180539592
yes,1.76652990067854
yes,1.6762388232316
yes,1.50723820981721
yes,0.901571425775286
yes,1.43675570401673
yes,1.35547356472332
yes,1.44909897686966
yes,1.56884108667045
yes,1.17182430183022
yes,1.22419751520591
yes,1.53117199213326
yes,1.43960656319071
yes,1.40599071685612
yes,1.39832387141824
yes,1.1628674294413
yes,1.36179965738346
yes,1.34463294793997
yes,1.63734561509992
yes,1.83319164331593
yes,1.71637091962368
no,1.11124080884659
yes,1.508372311003
yes,1.74286377790117
yes,1.58389918082251
yes,1.31959467971394
yes,1.61553329592843
yes,1.45043304067394
yes,1.26530494305197
yes,1.42558897634125
yes,1.58268838050168
yes,1.64732485660027
yes,1.45726008962948
yes,1.84796687412746
yes,2.26056128181673
yes,2.20772952531338
no,1.39227808489079
yes,1.60672506225792
yes,1.70357193657157
yes,1.33577370538011
yes,1.55669934469159
yes,1.23850864512168
yes,1.3063028446723
yes,1.54692033006362
yes,1.21593674766074
yes,1.30082552947338
yes,1.64600462166604
yes,1.16111602686144
yes,0.795901208158076
yes,1.30723587133368
yes,1.22983759944622
yes,1.24087763396003
yes,1.41797736118602
yes,1.06941511273447
yes,1.85906550607731
yes,1.79525794479869
no,1.34727480347795
yes,1.56702895435376
yes,1.23056252913525
yes,1.51558903898298
yes,1.32686719399043
yes,1.50582866746853
yes,1.20831008201613
yes,0.915621408192731
yes,1.3580290109811
yes,1.25972110330249
yes,1.29627104778609
no,1.30077742668213
yes,1.87740401939872
yes,1.78957009367905
yes,1.42111858640546
yes,1.23128740949849
yes,1.17850920013797
yes,1.35239686469266
yes,1.02376286178692
yes,1.06800272333851
yes,1.06688714662175
yes,1.06001822457977
yes,0.764606797418604
yes,1.06401324922221
yes,1.02980224403645
yes,0.944182930205127
yes,1.01339540171193
yes,0.914345774324101
yes,0.443995843810044
yes,1.19459426564144
yes,1.34944736524832
yes,1.6801881326115
no,0.923248613601016
yes,1.29330876966015
yes,1.16654655403099
yes,1.05977519960342
yes,1.15618871486227
yes,1.00442397670062
yes,1.22669610506396
yes,1.21521843714627
yes,1.42847758462103
yes,1.20941965332676
yes,1.4112853813058
yes,1.21064153103706
yes,1.26625820108514
yes,1.33220526362853
no,1.15249906980632
yes,1.91980046202568
yes,1.89398791992538
yes,1.08021430361139
yes,1.45540118494037
yes,1.43810851548131
yes,1.23483090335404
yes,1.1693901657579
yes,1.14541212697759
yes,1.72934187355698
no,1.16551327655755
yes,1.89982007503752
yes,1.22552297077454
yes,1.50726476646223
yes,1.29860561023754
yes,1.42062034914739
yes,1.22382684883228
yes,1.1540093636348
yes,1.12930207475159
yes,0.768505469378816
yes,0.742543265514388
yes,1.06439629727765
yes,1.15599132265171
yes,1.16758283790872
yes,1.3225732612846
yes,1.25835826499697
yes,1.1925371107264
no,1.0588386347729
yes,1.60394418830051
yes,1.57316414856555
yes,0.90629334444227
yes,1.25555902433639
yes,1.39425332666065
yes,1.14344076080605
yes,1.3042796352257
yes,1.07715241533572
yes,1.36884677280998
yes,1.44507409216094
yes,1.57824878230309
yes,1.19058471009359
yes,1.39738468840019
yes,1.43075767733614
yes,1.35690197957501
yes,0.975027637232745
yes,0.958160766697889
yes,0.791394516709618
yes,1.05673371332289
yes,1.10420866983224
yes,1.34171953804967
yes,1.36053107494389
yes,1.03224726420488
yes,0.978969809161176
yes,1.65784445880991
no,1.05874189917654
yes,1.61344831225502
yes,1.4409008903122
yes,1.38573901604047
yes,1.39950567750889
yes,1.38687182722551
yes,1.49642128064444
yes,1.51555332627985
yes,1.39146909707623
yes,1.42381372803602
yes,1.40949376724563
yes,1.29017194203572
yes,1.24779593336663
yes,1.23879726305688
yes,1.21085999296693
yes,1.28558245928461
yes,1.21532458282177
yes,1.02748220017121
yes,1.14626298947595
yes,0.974970354120695
yes,1.0818300133094
yes,1.01675024524292
yes,0.984995988988102
yes,0.651099694767619
yes,1.39209519465828
yes,1.18354562706276
yes,1.48486652190271
yes,1.65735285364416
no,1.06057321738813
yes,1.24896585088907
yes,1.33777608954664
yes,1.30115941796745
yes,1.22052779134357
yes,1.20682102979571
yes,1.18893713615098
yes,1.25288410580305
yes,1.32524510252039
yes,1.00662091539109
yes,1.18336214799431
yes,1.16204864018411
yes,0.997690985787986
yes,1.02229497179948
yes,0.84842107277766
yes,0.708348837450977
yes,0.689341330195689
yes,0.567029177069991
yes,0.64307961451132
yes,1.17638031165013
yes,0.821659318117761
yes,0.980690938516956
yes,0.864923676064828
yes,0.654565343781082
yes,1.24846268062932
yes,1.60012982618158
yes,1.76668915153185
no,0.859549962336309
yes,0.970052914139888
yes,1.1633819993892
yes,0.96455135958761
yes,1.12528441425169
yes,1.16238681256433
yes,1.30788400139455
yes,0.910686958564755
yes,1.13493588766382
yes,1.44526741718688
yes,1.86347155303461
no,0.94672000154282
yes,1.28424964805987
yes,0.974254920332081
yes,1.34640932319368
yes,1.37051208673172
yes,1.52448592799068
yes,1.00062196100987
yes,1.97350575026856
yes,2.24525881201884
no,1.17296331423377
yes,1.50687961960596
yes,1.579536073174
yes,1.56970653615311
yes,1.44343567500435
yes,1.195108949472
yes,1.25424234482496
yes,1.23799949846189
yes,1.31378502261495
yes,1.3208896192768
yes,1.28704173551795
yes,1.27120372953544
yes,1.23536880509934
yes,0.929943806840392
yes,1.13110172886404
yes,1.12412322851576
yes,1.25123080948874
yes,0.921127975763272
yes,0.988249647775041
yes,1.04009500375482
yes,0.762505559996261
yes,1.49345126371845
no,0.971115441678463
yes,2.6292612513702
yes,1.73238693985863
yes,1.32755990560213
yes,0.777219421871392
yes,1.21172746684963
yes,1.10425548934433
yes,1.0782314140976
yes,1.15524724832148
yes,1.36970087667073
yes,1.02272905353875
yes,1.12237144478348
yes,0.765032553767088
yes,1.05273931994062
yes,1.00173288483275
yes,1.45547283583391
yes,1.94701563632472
no,0.974686057223738
yes,1.7219456982354
yes,1.48358953761458
yes,1.35105849006523
yes,1.35777753881706
yes,1.16079447809279
yes,1.51020532369141
yes,1.29106896878884
yes,1.57651884167628
yes,1.25136189105503
yes,1.24700829084339
yes,1.32406712682161
yes,1.34282081235015
yes,1.43477711927619
yes,1.14537005921341
yes,1.3820265296333
yes,1.33370949392776
yes,1.13568547544622
yes,1.38785287236405
no,0.933131939840736
yes,2.13393731983508
yes,2.12826386654128
yes,1.08210856321544
yes,1.30886745110957
yes,1.38249383803601
yes,1.30763652424611
yes,1.00375994496985
yes,1.249527985445
yes,1.17926210471374
yes,1.07459466770627
yes,1.10053297056577
yes,0.858018777895502
yes,0.943734834547593
yes,0.850958902184537
yes,1.30305609077535
no,0.671203658228324
yes,1.24507633194018
yes,0.948966703205025
yes,0.79015012416569
yes,0.748498727408771
yes,0.953052557595928
yes,0.953952527116096
yes,0.66535282483193
yes,0.478750632614054
yes,0.844507795945492
yes,0.757974207431168
yes,0.844235806004765
yes,0.685298788955217
yes,0.531750723419973
yes,0.500228724800538
yes,0.38203900113477
yes,0.325424712249848
yes,0.649119676070837
yes,0.583371350865998
no,0.542691612256444
yes,1.17106287859023
yes,1.43105607843914
yes,0.7347765288216
yes,1.18717426157065
yes,0.558973845486359
yes,0.686479854562217
yes,0.373871354776782
yes,0.781166784907897
yes,0.797129906341611
yes,0.647526188977418
yes,0.757030612542119
yes,0.598859717508177
yes,0.252477101399938
yes,0.386817089401242
yes,1.1298492705824
no,0.352892781927095
yes,0.899734939118392
yes,0.617103315093404
yes,0.585480742589174
yes,0.623797695323873
yes,0.361551309019823
yes,0.626883643583292
yes,0.636544496168836
yes,0.977162642361405
yes,0.935048546201376
yes,0.999817460917708
yes,0.832860571223368
yes,0.819055209059363
yes,1.06969693474628
yes,0.949822352701996
yes,0.78263318787889
yes,0.912648096603617
yes,1.28596484986931
yes,0.849443081394621
yes,0.894782867175586
yes,0.474228094773489
yes,0.869665172190558
yes,0.69904849864749
yes,1.56191831989089
yes,1.21891161902919
no,0.742681022206328
yes,0.843899151550938
yes,1.00128004902519
yes,0.865535731534787
yes,0.870569325278211
yes,1.4214132449055
yes,0.735200501992273
yes,1.15177709023484
yes,1.56638785625711
yes,1.13755912486421
yes,1.31649742711529
yes,2.10818578635549
no,0.840387149578816
yes,1.43267595048551
yes,1.27621796460548
yes,1.12191123407303
yes,0.623365378700095
yes,0.453542125657075
yes,0.888799081160036
yes,0.462026956196783
yes,0.109836367194177
yes,1.22499174105908
yes,1.75479552535049
no,0.308518913432114
yes,1.12752310300782
yes,0.541658518474977
yes,0.642453044076906
