uORF_length,PTC_AUG_dist,AUG_driven_fitness_enrichment
3,1,0.248499395858896
3,5,0.221522561573395
3,20,0.248885985105893
3,30,-0.0117537965328061
3,40,0.136285729133008
3,60,0.603744045856295
3,70,0.836083860523776
3,80,0.77977873606664
3,50,0.420016384323709
3,10,0.138269694764768
22,1,0.232594360874121
22,5,0.432568405079919
22,30,0.17146146123109
22,40,0.0375875352699213
22,60,0.751923299675912
22,50,0.767967405406808
22,20,0.260702592144843
22,10,0.150751415126095
24,1,0.0539335429105992
24,5,-0.236514686201138
24,10,0.213217610698049
24,20,0.36008623638157
24,30,0.554916467951415
24,40,0.399418559643278
24,50,0.921880089982973
27,1,0.404515957904576
27,20,0.119503026015361
27,30,0.712118871214045
27,40,0.972806283737187
27,50,0.950715018891096
27,10,0.603684557267296
27,5,0.81175484420512
30,5,0.206850971781411
30,10,-0.0828903447806375
30,30,0.543499297876401
30,50,0.909654793107843
30,40,1.05261763547197
30,20,0.515225330275798
30,1,0.154917882662166
39,1,-0.21913959269189
39,5,-0.0012454662638514
39,10,0.525552773854501
39,20,0.380274054810936
39,40,1.01494168664271
39,30,0.772357307817696
43,1,0.164980421639619
43,5,-0.525745297359846
43,20,0.158720571160648
43,30,1.05024882174285
43,40,1.02633742492307
43,10,0.392648846497734
44,5,0.271117212137247
44,10,0.759171809853533
44,20,0.0623028559245686
44,30,0.746709789600241
44,1,-0.0775161242683148
46,1,0.402468630152824
46,5,0.624257345118684
46,30,0.685119151566616
46,20,0.77791332176354
46,10,0.572707763913596
47,1,-0.411008254831735
47,5,-0.0173054914440122
47,10,0.388257985003536
47,20,0.571150818110372
47,30,0.29598049404023
61,1,-0.38245234457563
61,20,0.679210160158366
61,10,0.602106302771668
61,5,0.930544674695747
63,1,0.275972089392243
63,10,1.15968075378657
63,20,1.05471663361124
63,5,0.295109870273733
64,10,0.42811551008111
64,5,-0.273624176637447
64,1,0.239407522986585
79,1,-0.101964940521097
82,1,-0.0813970865281252
81,1,-0.47434729817121
80,1,0.220664728713437
78,1,0.197937726524614
78,5,0.389443720856717
77,5,-0.0114136273430339
77,1,-0.151100677209067
76,5,-0.221643118194538
76,1,-0.0988256813618967
75,5,-0.302244336998286
75,1,0.0088313379917344
74,1,-0.922524734089384
74,5,-0.309242843648353
73,1,0.49823095480917
73,10,0.330367296762189
73,5,0.273169256755386
72,1,-0.326476363741604
72,10,0.234235694644229
72,5,-0.485579192254681
71,10,0.225430816360257
71,5,0.653938074865951
71,1,-0.310591368180215
70,5,0.241772324432455
70,10,0.234064446997003
70,1,0.162933217023587
69,5,0.811882895970853
69,10,0.742375706421082
69,1,0.766893114252327
68,5,0.454433821226919
68,10,0.724753026223388
68,1,0.397805472778525
67,10,0.638586266936807
67,5,0.40773101113672
67,1,0.336879075429489
66,1,-0.113737774416687
66,10,0.116655096643
66,5,-0.351773719838741
65,10,1.26016055887392
65,5,1.19003222520894
