uORF_length,PTC_AUG_dist,AUG_driven_fitness_enrichment
10,10,0.133140047665862
9,1,0.395014819446996
9,5,0.048042996315016
9,10,0.147685387559737
9,20,-0.20965350345665
9,30,0.0780532627168777
9,40,0.0270468276090081
9,50,0.480786778610173
9,70,0.972329579100982
9,60,0.747259641011664
8,1,0.550457597773842
8,10,0.318229951214294
8,20,0.400577554087025
8,40,0.202553535605487
8,50,0.454720932523314
8,70,1.20080537999435
8,60,1.19513192670054
8,30,0.148976623374704
8,5,0.316396045604261
7,1,0.508058446485419
7,5,0.403391009477946
7,10,0.429329312337442
7,20,0.186815119667179
7,40,0.272531176319269
7,50,0.179755243956213
7,60,0.631852432547027
7,70,0.573872673711858
7,30,0.277763044976701
6,1,0.247458511909246
6,5,0.411260914859652
6,30,-0.160652611121674
6,40,0.0406797386095538
6,70,0.628371266333784
6,60,0.888364466182697
6,50,0.192084916565156
6,20,-0.168820257479662
6,10,0.254438294085166
5,1,0.294633407050324
5,5,0.404137830615024
5,10,0.245966935581082
5,20,-0.100415680527157
5,30,0.0339243074741467
5,70,0.776956488655309
5,60,0.546842157191298
5,50,0.264210533166309
5,40,0.232587960662079
4,1,-0.118883326882455
4,5,0.234481620155077
4,10,0.0763741868530354
4,20,0.152101844969258
4,30,-0.268452927432839
4,40,0.12698414998423
4,50,-0.0436325235588377
4,60,0.819237297684562
4,70,0.476230596822865
2,1,0.581026095326681
2,5,-0.105186647586543
2,10,0.311389940656021
2,20,0.726000706678293
2,50,0.297171975285399
2,60,0.476110277536473
2,80,1.26779863677668
2,70,0.59228880090669
2,40,0.435830815026665
2,30,0.281524084494219
1,1,0.314846465267982
1,5,0.145023212224962
1,10,0.580280167727922
1,40,0.15350804276467
1,50,-0.198682546237937
1,60,0.916472827626969
1,80,1.44627661191838
1,70,0.819004189575708
1,30,0.233139605042863
1,20,0.333934130644792
