category,log_or,se,ci_lower,ci_upper,z,p_value,Q,i2,tau2,estimator,n_genes,n_ptc_trig,n_ptc_evad,fe_log_or,re_log_or,delta_vs_other,z_vs_other,p_vs_other,use_ai_filter
Tumor Suppressors,0.39226419833725323,0.07699145657348472,0.24136371633594358,0.5431646803385629,5.094905536211742,3.489151875659996e-07,357.31114293255126,0.762112092832086,0.3205408216302572,RE,86,7595,4888,0.3552013390356675,0.39226419833725323,0.2491227554883658,3.215561944405246,0.0013018939407052703,False
Oncogenes,0.08397542870522826,0.12458190101658138,-0.1602006104128052,0.3281514678232617,0.6740580134031784,0.5002744316237613,28.917266664195445,0.2046274543479602,0.0982667924866021,FE,24,418,186,0.08397542870522826,0.05589538602190672,-0.059166014143659185,-0.4737801063447847,0.635656722230181,False
Essential Genes,-0.12007983630906788,0.04193457838620155,-0.2022700996528947,-0.037889572965241064,-2.8635040801693097,0.004189834178604227,424.1110038168356,0.38695294943988673,0.2903179887306956,FE,261,4113,1199,-0.12007983630906788,-0.09422136033800205,-0.26322127915795535,-6.147982850222879,7.847451604698508e-10,False
Other Genes,0.14314144284888744,0.008634303683278052,0.12621851859808092,0.16006436709969396,16.578226583124206,1.0014058091585682e-61,10438.864337342788,0.45290983621943165,0.35258771966245056,FE,5712,67289,58813,0.14314144284888744,0.1874775192731617,,,,False
Tumor Suppressors,0.5238578789568346,0.09216869601207794,0.3432105542711413,0.7045052036425279,5.683685476988709,1.3182261319843817e-08,431.7656730484265,0.8077660981847189,0.4927422300014879,RE,84,6595,3691,0.5999203563626447,0.5238578789568346,0.29600485544122573,3.194227085838939,0.001402057817660615,True
Oncogenes,0.058187738401437074,0.13726016379476383,-0.2108372391483687,0.32721271595124285,0.42392298532035416,0.6716219804928117,29.91162616753888,0.29793185156914276,0.18064863263149641,FE,22,345,135,0.058187738401437074,0.05041185123125015,-0.16966528511417175,-1.23306479800447,0.21755158965616694,True
Essential Genes,-0.07357989200248068,0.046364467208059125,-0.16445257789266493,0.017292793887703564,-1.5869888393690186,0.11251517236471065,369.78999243908083,0.3888423034129805,0.31110108279568194,FE,227,3490,874,-0.07357989200248068,-0.04725780376359637,-0.3014329155180895,-6.365974536320463,1.9405362698524056e-10,True
Other Genes,0.22785302351560882,0.009613454138863445,0.20901099963640896,0.2466950473948087,23.70147297988222,3.481767288823363e-124,9034.657429445833,0.49892953492120656,0.4167513801914761,FE,4528,57762,37297,0.22785302351560882,0.27133816294245183,,,,True
