gene_symbol,n_ptc_triggering,n_ptc_evading,n_syn_triggering,n_syn_evading,n_variants,log_odds,se_log_or,ci_lower,ci_upper,z_score,p_value,p_value_fdr
TET2,12.0,65.0,43,167,77.0,-0.3080990851624682,0.35245684923601195,-0.9989018157695153,0.3827036454445789,-0.8741469653102388,0.38203822361412954,0.5834693768364586
TGFBR2,12.0,14.0,16,53,26.0,1.0279012678771529,0.4777689469110426,0.09149133899988027,1.9643111967544256,2.1514610242522547,0.0314398290032893,0.11630193412972457
TP53,1181.0,21.0,195,7,1202.0,0.7458298026101897,0.43105270266236756,-0.09901797004670332,1.5906775752670828,1.7302520039977083,0.08358526068431575,0.2286182895370987
TP53BP1,21.0,32.0,86,66,53.0,-0.6761296204781,0.32230287976186067,-1.3078316569248902,-0.04442758403130964,-2.097808188923632,0.03592209284541711,0.12123706335328273
TRAF3,7.0,7.0,39,26,14.0,-0.39915593891489953,0.5742116085725479,-1.5245900112219044,0.7262781333921053,-0.6951373552115653,0.48696922658034536,0.6419343622557995
TRAF7,16.0,1.0,106,8,17.0,-0.13018354885483863,0.9242886223781829,-1.9417559600362193,1.681388862326542,-0.1408472913145658,0.8879905823542957,0.9361841609801306
USP28,66.0,8.0,83,7,74.0,-0.3528078271490074,0.5272513954898713,-1.3862015731076394,0.6805859188096246,-0.6691453643687605,0.5034027543653233,0.652409969657459
USP9X,73.0,9.0,136,20,82.0,0.15009387913164374,0.4183002452814162,-0.6697595363442027,0.9699472946074902,0.3588185300505057,0.7197308495683183,0.8153594239864865
VHL,51.0,62.0,24,20,113.0,-0.3718329804789843,0.35357359921754,-1.064824500829562,0.3211585398715936,-1.0516423774338706,0.2929636573252673,0.49176028415766826
WNK2,19.0,4.0,226,249,23.0,1.5630510390619121,0.5309682670121306,0.5223723587844893,2.603729719339335,2.943774865977447,0.0032423576517099212,0.021010477583080292
WRN,14.0,9.0,131,8,23.0,-2.316083837301515,0.5472479298245797,-3.388670070371794,-1.243497604231236,-4.232238645551269,2.3137670884133853e-05,0.0002498868455486456
WT1,6.0,7.0,75,127,13.0,0.3808828647028286,0.5552185673651161,-0.7073255308807247,1.469091260286382,0.6860052726809424,0.49270978347716243,0.6437014913169381
XPA,4.0,2.0,6,11,6.0,1.158331523369732,0.9289913335481158,-0.6624580323344114,2.9791210790738756,1.2468701068993748,0.21244512919626468,0.4048954227034691
XPC,9.0,2.0,55,34,11.0,0.8595773700172655,0.7431464749019077,-0.5969629560283727,2.3161176960629035,1.1566728754660731,0.24740603572688058,0.44533086430838503
ZC3H13,6.0,42.0,27,74,48.0,-0.8810887783157915,0.47661517051646857,-1.8152373470134866,0.05305979038190356,-1.848637711974271,0.06451014338824192,0.1885718634765438
