gene,n_ptc_trig,n_ptc_evad,n_syn_trig,n_syn_evad,log_or,se,ci_lower,ci_upper,z,p_value,category,use_ai_filter
TONSL,16,4,136,57,0.4347433173085512,0.5545679349747118,-0.6521898622226344,1.5216764968397367,0.7839315796871225,0.43308025849132203,Essential Genes,False
XAB2,18,2,122,21,0.26142190535895954,0.7132523727735879,-1.1365270571650097,1.6593708678829286,0.3665209052756202,0.7139764161293495,Essential Genes,False
ATR,57,10,177,33,0.0329845205553774,0.384855750472147,-0.7213188896131646,0.7872879307239193,0.08570619125454532,0.9316999803320837,Essential Genes,False
POLR1B,10,6,81,26,-0.6438852069927542,0.5468912476819862,-1.7157723559096212,0.4280019419241129,-1.1773551135109213,0.2390537976811079,Essential Genes,False
CRNKL1,28,1,61,6,0.6972039812555598,0.9337348137521124,-1.1328826248097958,2.5272905873209153,0.7466830742380923,0.4552548889934809,Essential Genes,False
EIF2B5,16,0,57,9,1.6960144122696705,1.4775860458357826,-1.2000010216274128,4.592029846166754,1.1478278487059859,0.2510396383711664,Essential Genes,False
ZNF131,2,9,1,48,2.141097623102933,1.0920386354257043,0.0007412279422860379,4.28145401826358,1.9606427406923006,0.04992071285572144,Essential Genes,False
KIF11,18,2,50,3,-0.667730367575822,0.8715333154655418,-2.3759042772150694,1.040443542063425,-0.7661558723307604,0.4435835614110757,Essential Genes,False
TUBGCP2,9,2,144,15,-0.8974384168949459,0.7594074678009879,-2.385849703375643,0.5909728695857512,-1.1817613796894222,0.2373003958672073,Essential Genes,False
MCM5,9,1,77,7,-0.4895482253187058,0.9582099893557718,-2.3676052940825274,1.3885088434451156,-0.5108986868816104,0.6094220007092978,Essential Genes,False
MYBBP1A,11,2,132,31,0.08946120390035969,0.7254307157106618,-1.332356872171652,1.5112792799723715,0.12332149985229095,0.9018525163597667,Essential Genes,False
SNAPC4,14,10,77,105,0.6312064088198709,0.4319554505637221,-0.2154107172107962,1.477823534850538,1.4612766385888105,0.1439395382952989,Essential Genes,False
LSM11,1,12,9,37,-0.7472144018302211,0.937334780763026,-2.5843568135824997,1.0899280099220574,-0.7971691834820855,0.425352780800331,Essential Genes,False
CCT6A,11,2,38,10,0.22677331936478853,0.7798516800977296,-1.3017078869098133,1.7552545256393903,0.2907903196879305,0.7712116893546244,Essential Genes,False
DTL,5,6,23,44,0.4714346833589151,0.6330003453917359,-0.769223195810302,1.7120925625281322,0.7447621265785646,0.4564155342634443,Essential Genes,False
HNRNPL,11,0,121,7,0.3504829736908114,1.4928229324830729,-2.57539620927148,3.276362156653103,0.23477866400929337,0.8143805285828275,Essential Genes,False
DDX10,13,9,35,17,-0.3559339287140132,0.5144405730462704,-1.3642189240708502,0.6523510666428237,-0.691885413715219,0.48900929143720673,Essential Genes,False
LUC7L3,20,2,16,9,1.5520655719701677,0.783995986154059,0.015461675084249338,3.088669468856086,1.9796856098510425,0.04773886653277114,Essential Genes,False
NOP9,6,7,46,29,-0.5981628928882099,0.5853060469603223,-1.7453416648639513,0.5490158790875315,-1.0219660227237652,0.30679698201284955,Essential Genes,False
ANAPC4,13,5,42,11,-0.4092154473552082,0.6052918216828079,-1.5955656179901525,0.777134723279736,-0.6760630702353188,0.4990006022811492,Essential Genes,False
BUB1B,33,2,63,12,0.9699434453664753,0.7249819154742548,-0.45099499840592583,2.3908818891388766,1.3378864005621107,0.1809334709669227,Essential Genes,False
DHX9,33,3,94,16,0.5135430167424906,0.6218947685670089,-0.7053483318227189,1.7324343653077001,0.8257715657036542,0.40893368673058594,Essential Genes,False
ELAC2,9,3,94,12,-1.0243423600803145,0.6939448495313105,-2.3844492724187503,0.3357645522581212,-1.4761149402177336,0.1399130388002108,Essential Genes,False
MCM3,10,3,64,24,0.13062018241706422,0.6612658946686918,-1.1654371553382286,1.4266775201723572,0.19753049941054,0.843412416512654,Essential Genes,False
ECD,11,2,42,6,-0.3516455955337304,0.8150656951129708,-1.9491450029892574,1.2458538119217968,-0.43143221171269047,0.6661541325300046,Essential Genes,False
PRPF8,25,1,229,11,-0.16034265007517937,0.8928584283945873,-1.9103130130216053,1.5896277128712464,-0.1795835095195159,0.8574795516973085,Essential Genes,False
YARS2,3,12,6,36,0.452544407873967,0.7395658860672335,-0.9969780930122637,1.9020669087601978,0.6119054656245008,0.5406003052403096,Essential Genes,False
SMC2,19,0,77,15,2.0541237336955462,1.4590069931706156,-0.805477426110937,4.91372489350203,1.407891629930891,0.15916316193185132,Essential Genes,False
