gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,A,K,B,M,r2
DICER1,-8.543747403825444,-1.1706370401362234,1.755475834200889,-4.0018506074211135,2.2976860049934853,0.2287843749566734,0.0919522442225764,0.5385010424185223,0.2684648814029966,0.024900010819552,-0.1172838026267501,0.0839997940607129,0.1747036165802142,0.0467568759169959,-0.0335703345864968,-0.0301403025255174,0.0135992922675595,-0.0229171657336847,0.0178401432437644,0.0052683989827037,-0.0174462608005835,-0.0014549068224142,-0.0139608058960565,-0.0028874824424612,-0.0202114405769836,0.0010920910875392,0.0188464850603985,0.0160065798105064,-0.0063264672856508,-0.0097540289373278,-0.0027292638537437,-0.0048410162995902,-0.0010799746154354,0.0093396445226157,0.012996561611915,0.0109256332821545,-0.0083541758063606,0.0014052171291713,-0.0130873824488175,-0.0089463707429574,0.0034543468184688,-0.00152162685205,0.0013992876120095,0.0032156292405205,0.002492975673364,-0.0066867138115774,-0.001263914096431,0.0038777367690408,0.0033128715469488,-0.0021150324801758,-0.0049293219657382,0.0024938517171167,0.0008091880132001,0.0021495551924877,0.0013194335274019,-0.0021759186329956,0.0004344558987582,-0.0007859326349188,0.0002430648025975,-0.0027882700515017,0.00132599087104,-0.001001281083631,-0.0001074415083996,-0.0002332820214421,-0.0005188342032561,-0.0002847942937049,-0.0004588277433737,-1.583001838540199e-05,-0.0002067120096014,-0.0002266167814155,8.136207877198633e-05,9.402473194830048e-05,2.654128275168148e-06,0.0001421507733466,6.152480662117238e-05,-0.0001254045878805,-0.0001536262878475,-7.763629633913619e-05,3.804821567134147e-05,-2.489972458428677e-05,-8.45976869720239e-06,4.607845343231464e-07,1.1192430983345762e-06,-0.6875623643521646,0.3643436728218758,14.999999999999998,0.5459503767150292,0.8384696819760855
KDM6A,4.618831364232117,10.68370983744141,-1.478076280425736,-2.2825575364526194,0.6257943562024291,-0.900504153021276,0.6380491988573093,0.0502177948233065,-0.2577890160128039,0.1425780309678768,-0.064936644093834,-0.1983749596207759,-0.000652901548404,0.119328206402596,-0.0232739067935228,0.0198174667387696,-0.0765955138408843,0.0199794190319074,0.0319729943620651,0.0176702607030758,0.0240515372136028,-0.015357592727334,-0.0037696479798751,0.0092560744965926,-0.0269377568952942,-0.015430139247299,0.0104820721175967,0.006456956565706,0.0068949794124007,-0.0070988164573947,-0.0054910262180687,0.0041275768967077,0.0048267688137586,-0.0020817949179227,-0.004292183597205,0.003418113125097,-0.0010948629222675,-0.0032629059304256,0.0003509483882013,-0.0024017782455446,0.0039460935980681,0.0001586658102,-0.0003973324590119,0.0036571309963905,0.0004142881769186,0.0002559393370906,0.0002907357911735,0.0009360092078673,0.0011569846005099,-0.0010349527920569,0.0009168172008497,-0.0003295382664037,0.0004846155133084,0.0008887727672698,-0.0017293561038023,6.782452327496006e-05,-0.0012417879819258,-0.0013262299147965,0.000749876508147,0.0005125635892936,0.000507938533278,-0.0011951311736259,-0.0007266203558781,-0.0006633614377633,0.0010287225944786,-0.0002250499019685,0.0005662375186258,0.0002453880268269,-1.979594799723413e-05,0.000388864489483,0.0002567331502149,0.0001555849726597,0.0002711373864749,-0.0004796799310501,-0.0002773270034463,-0.0001451195701022,2.448699319145536e-05,-3.854848167793923e-05,-0.000192701957183,-4.438552104577715e-05,1.968154484587791e-05,5.815480535669474e-06,4.291709770746074e-06,-0.8543882513086482,0.5683866468891611,13.751909324079294,0.3379835539223295,0.7913725546048949
ROS1,2.4078022839525457,-1.44389525348907,5.266667811378924,2.122640167216,0.3135643076496528,0.4931175026798319,0.4936533204061119,-0.6284406857692545,0.2968837061099933,-0.2175050898631822,-0.2579971949070702,-0.1303109888512932,0.0087748973372401,0.0111458464741672,0.0374135613926526,-0.0238758317302884,-0.0301036377117419,0.0426639458301865,0.0505181332672288,-0.0051567449194275,-0.0470198316589625,0.0238797992649905,0.005709032089648,0.0256758807428712,-0.002164247236729,0.0218406644231642,-0.0109290406112644,-0.0026185611145999,-0.0025900686526196,-0.0247510646245675,-0.0157048040979929,-0.0001430059895966,0.0115505657098863,-0.0153092956383733,0.0119613683890087,-0.0083286668982097,-0.0163705376150113,0.0065470900748618,-0.0086901459155417,0.0022765114249023,-0.0031445899799092,0.0109519962802724,0.0017619662233239,-0.0060372767662144,0.0001180443238238,0.0056078915547362,-0.0037512504534382,-0.0027002326758237,-0.0029272515854069,0.0027332245412616,-0.0018158384271204,-0.0024959218739044,0.0016617536123746,-0.0003361066302458,-0.0032712639840642,-0.0002240965532037,-0.0016151292209387,-0.0011523611030064,-0.0007542411829488,-0.0006581364909784,1.560184460712713e-05,-0.000257293410159,0.0003823923988416,7.203998407682359e-05,0.0001701148199052,5.616261180808624e-05,0.0001168075494787,-0.0002834107023362,-4.639722482090591e-05,-0.0001875610613411,0.0002367046407791,-0.0001314543877774,-6.467845249425757e-06,7.745297986672863e-05,-7.670204376766958e-05,-9.37910201894766e-05,-6.270619342727117e-05,-2.3527848529379783e-05,-1.6687032085194554e-06,6.090463675694438e-06,-4.269182155737991e-06,-3.215342934457676e-06,-3.0551863590978507e-06,-0.1634865974003087,0.3780200055523103,14.999999999998945,0.5139351700769177,0.529549754500143
LATS1,-0.1336111436025952,-4.514050171021934,3.114327624789408,-4.618415367171373,-1.857228497537155,0.9626374714761604,-0.0070564892540069,-0.7801828640129754,0.497520667569183,-0.3450747413658008,0.0605091571324881,-0.1227855104464978,0.096564877790315,-0.0537873226907636,-0.0259203998080262,0.025397950515346,0.0578162293476081,-0.0023113043839864,0.0551902885431237,-0.0238892732004791,0.0218699431244121,0.0033399417658796,-0.0205246942734898,-0.002211662525833,0.0156080914364778,-0.0058557524174519,-0.0062262632343906,0.00868029990456,0.0046283052702179,0.0029659297379814,-0.0074184087613048,0.003272596690223,0.0041147557625883,-0.0005280959095091,-0.0050296187997732,-0.0035617825850721,0.0099808729418808,0.0029162273839728,-0.0009484505816038,-0.003251728942552,-0.0029776916210101,0.0004918050993133,-0.0020108804624628,-0.0026774306305428,0.0028332330871565,-0.001410581290603,-0.0032269412899374,0.0008887768407162,-0.0037208995506284,-0.0005558655623529,0.0002627649238202,-0.0004358181586372,-0.0003894176195475,-0.000359059541489,0.0023759766671304,-0.0013629827162226,8.84807466273228e-05,0.0010354968303801,0.0005784387855396,-0.0002581229401482,-0.0003976369327916,-2.6147064749658294e-05,0.0005856004992055,-0.000323111223205,0.0001119102981627,-4.612870068700045e-05,5.2397682458891936e-05,-0.0001870109105895,-0.0004850516964831,0.000624124136725,-0.000633212769131,-0.0001404736211794,0.0002885861142197,4.927922506934142e-05,4.272257722401787e-06,-0.0001313255678239,-1.665630079624969e-05,9.411220318524246e-05,-4.662133776281207e-05,2.9433077434993938e-05,-2.097183869313809e-05,-6.690157734892688e-06,-3.441195810997855e-06,-0.1530188073371166,0.4321365933985219,14.999999999999986,0.661200411823761,0.5224729202856611
CDKL5,13.751192126140111,0.7286900602038353,2.0956647724320967,0.9428416058752728,0.051989683578023,-0.4610049296183838,-0.1633044220565721,0.2279038226349846,0.1838545833046965,0.2492129876322402,0.1500045390932751,-0.1292508319880532,0.0576906022344976,0.0067327005639425,-0.0512971349031393,0.0258683424656626,-0.065805074677652,0.0326734819890679,-0.0072009087233549,-0.0743721365604074,0.0016943834517372,0.0230834373734868,0.0135742404285302,0.0105653276733697,0.0107921300867809,0.0158640115985995,0.0134173363678702,-0.0207320578594017,0.0010529374083205,-0.0125596076551934,-0.0022956424318854,-0.0062363162739608,0.0090529723502508,-0.012898337450844,0.0012045498168664,-0.0060222147660197,-0.0044852428284256,-0.0017410254997059,0.0039331889529724,-0.0099390936413794,0.0010482869161489,-0.0007253701139728,-0.0083712703604949,-0.0053012007289175,0.0006528089223813,-0.0003488581166567,0.0097335806644704,0.0002312906718909,0.0020160137942703,0.0050572414265441,-0.0008384940449568,0.0016009052832696,0.0023649010380178,-0.0022405471868108,0.0040864139537525,-0.0007796933787393,0.0018429463139396,1.2304376403421931e-05,0.0003445956470409,-0.0004315768687001,0.0001906723004822,0.0002856648921528,-0.0003135282658102,0.0002471373014283,-0.0002731681704683,-0.0004459090926715,-0.0001758838163056,0.0008477617634417,-0.0003327829034669,0.0001167871417167,0.0002306251200708,6.92160174770167e-05,9.482385753921666e-05,-0.0001030088471679,0.0002280209067845,0.0001090466334194,7.499241157204905e-05,-5.4158786275219e-05,-9.61330480118288e-06,-1.0029379816087634e-05,1.2066171287205768e-05,-1.860770787326483e-07,4.180138349240071e-07,0.0307339265399733,0.507312480704977,14.999999999999998,0.292372502403191,0.4832824957402237
ZEB2,3.8862954535407006,-5.915284683466147,-3.010761691601596,4.395417791312122,1.2071141904195737,-1.3650731752730525,-0.607863057106911,-0.7937469367101846,-0.0952088447475718,-0.0102481236599173,-0.1638238380943694,-0.0340514423037851,0.07428063872191,0.0213457942748872,-0.0710003547596856,0.01913631673538,0.0051648243820585,-0.0540096317983136,0.0330639129122063,0.0423910249949187,0.0491054533714223,-0.0134526473669437,-0.0326997712004257,0.010449230856124,0.0411382418987307,-0.0030052574864742,0.008086472766972,0.0114875829733657,0.0219972700893146,-0.0019013954281193,0.0004996846172495,0.0020041836193583,0.001883906532895,-0.0002375609228504,-0.0091609444104585,-0.011336998409069,-0.0026028099468486,0.0026191713144555,-0.0036967113129627,0.0017924920926935,0.010989968484894,0.0039233918423708,-0.0008736015000672,6.465313244063742e-05,-0.0040559716073357,0.0020456906408241,-0.0033966681040573,0.0009072987227417,0.0066108720102404,0.0013819340911399,-0.002217105142868,-0.0003905699546765,-0.0019170669996709,-0.0006197102579432,0.0004528753529892,0.0006197450649285,0.0016937446970431,-8.680687277669821e-05,7.695166798829959e-05,-0.0010499582686014,0.0006469461675425,-0.0002160015282698,-0.0008010043962163,0.0008046212062058,2.272205085160108e-05,0.0003734025809196,-0.0003801021535523,0.0003149791306349,0.0003720765219639,0.0002019523251953,0.0002023831750289,-0.0001555827579861,-0.0002251381414203,0.0001191667785606,-7.049102465574068e-05,-7.734575715984716e-05,0.0001375595054479,0.0001289591882509,-6.290277824106757e-05,5.864173382242118e-05,-1.6620273319188198e-05,1.6336357673149615e-06,3.321384836009748e-06,-0.3287168549731825,0.3152506481762829,11.51569863805502,0.2623153356748901,0.3995359545097017
SETD2,4.179732648852185,2.110336524769877,-1.313622112740787,0.5504254362918849,2.1427244029191232,-0.905782688676344,0.6275912710086755,0.1281389926779962,-0.0956246859972253,0.215548101406709,-0.1281410911091137,-0.0571296468789624,-0.0047305796884185,-0.0501414988995548,0.0510241429820414,0.0439902509258502,-0.0155018086557941,0.0744301264504357,0.030625055434407,-0.0200573147844489,-0.025300343726118,0.0159961235209327,0.0671958673073239,0.019094058333414,0.008044529746938,0.0010480171443059,-0.0183256924066014,-0.0055421204168083,0.0091429304798552,0.0089097514824281,0.0073100042071228,0.0042521693225907,-0.0085389495128803,0.0079620992144943,0.0005537388119822,-0.0056869966590605,0.007880855782317,-0.0002501051481083,0.0043767812165072,0.0060512950416602,-0.0036787585030981,0.0006055837702471,0.0005052261243857,-0.0023389808778178,0.007328327576954,-0.0004076250942971,-0.0006325633853664,0.0010056834800212,-0.0035294392333262,-0.0047867841581313,-0.0036441909614243,0.000410525084666,-0.0053573565890218,0.0004515352507264,-9.79469702722746e-05,0.0004435177469083,0.0018350410715836,-0.0002856231607309,-0.0001522334769901,-0.0031633027521221,-0.0001570534878455,-0.0007350787595351,-0.0007864426639567,0.0003661102585452,0.0006455280041244,5.685523790108437e-05,-0.0001947090147307,6.901891457097518e-05,9.748134766296264e-05,0.0002511010478231,-0.0001180822029966,-4.1168538338204265e-05,0.0002314686503319,9.18066223822549e-05,0.000121710042799,2.600909808758734e-05,4.933360225237943e-05,4.91326415572935e-05,5.874191024882398e-05,2.520711843448889e-05,2.75216077127626e-05,1.5084191135762602e-06,-1.3658148943541628e-06,-0.4159447596860436,0.5159222021381386,14.999999999999453,0.3963044395361068,0.5983509515915286
ERBB4,-1.7311945841237626,3.6356293641234463,2.5084274371365645,-0.5418550899948632,-0.0499870659708571,-0.0993493172809037,-1.438043159940673,-0.9205740639915284,0.0125845691869331,0.2003511202850153,0.1342344357453129,0.103004424739242,-0.0465123374742238,0.0475109188335899,0.0223276843667148,-0.015360469091196,-0.0360355057336458,-0.0014148846716048,-0.0110500315734619,0.0334334873513796,-0.0232612388599085,-0.0267024063943715,-0.0063542181306124,0.0070914834214323,-0.0240599202704944,0.0008982207677478,0.0006633213918826,0.0054027950285788,-0.00491172678455,-0.0030837833898457,-0.0020852002641146,0.0091779239019773,-0.0023385949689543,0.0008598093006429,0.0070605705779747,-0.001330349460276,-0.0020183807357326,-0.0009377465346231,0.003646752252252,-0.0041565037939334,0.0021544627337322,0.0008930694750991,0.0048409270438288,0.0034723408989043,-0.0001139118890926,0.000903759682444,0.0022714852692381,-0.0014470352045115,0.0008878360715009,-0.0016702379146749,0.0001865931063344,-0.0004851684992872,0.0007320584256048,-0.0013259091107523,-0.0006761999749142,-0.0002353092415803,0.0013494933219608,-0.0012114681669792,0.0004743568451051,-0.0007746404638522,-3.37990855946526e-06,0.0005937187724522,0.0003819526515484,0.0006104861766928,-2.464135746793164e-05,0.0009732900999979,0.0005112447947023,0.0006800733674498,0.0003535073935961,0.0003390282544973,-0.0002153706788773,-0.0004425422187928,0.0002579909646891,4.601030519933968e-05,8.069754678016706e-05,9.874260015815907e-05,-2.3061684773297543e-05,0.0002954303884046,-1.7204151828489288e-05,-4.477898395741305e-05,3.700824174839319e-05,3.269203328987479e-07,-9.55128221483699e-06,-0.6627171099745639,0.4538512883846051,9.389938545865425,0.4393661558867487,0.7328755541087022
ASXL1,-0.0411496525342375,6.293834968153904,2.3413159835177635,-0.7838894715623504,0.1473046636641457,-0.2485977279416212,-0.4175059557315303,0.1802861856051158,-0.2136485204895885,0.1557796695476474,-0.1966337440221192,-0.0101951936720238,0.0229164566797168,0.0429993218195025,0.0498325310094766,-0.0133009314334367,0.0050126027109707,0.0449249989543083,-0.0142227366980367,-0.0086110412671391,0.0133775299721991,-0.007619676262719,-0.0051884080671427,-0.0064173432346365,0.0113078502663441,-0.0092032657814932,-0.0045148348740971,-0.0030118885656614,0.016526044349174,-0.0053910117066659,0.0011195835827392,0.0030460111715834,0.0042458667374579,0.0018552648950487,-0.0074010689228585,-0.0037865494711477,0.0007455041589348,-0.0029272929900329,0.0012795653831175,0.0006284969279996,0.0070285041253003,-0.003121583461906,3.6281019551857136e-05,0.0028956216434493,-0.0018110183601813,0.0057772728015578,-0.002805911511966,-0.0034026749347285,-0.0011489781748827,0.002134517784682,0.0031682593991873,0.0017128641244046,0.0008477236801096,0.0006934103214136,0.0011020916580007,0.0015256835822872,-0.0027658178313158,0.0001788487563234,-0.0008464382679656,2.0182705853303904e-05,0.0013208724059063,-0.0005758296496495,-0.0002875708981452,-6.36795774573049e-05,-0.0003911932156537,-6.889556017189894e-05,-0.0010713454642883,-0.0002252340910954,-0.0003499801944291,-0.0002289823864261,-0.0001887975617769,5.2910798764145376e-05,0.0002000473349282,6.29135182559161e-05,0.0001023264683939,0.0001069107603936,-0.0002909469729667,0.0001018656242283,2.7410942737980783e-05,8.072273681185856e-05,4.073778325744629e-05,1.3033164396128724e-05,5.3235270546773325e-09,-0.7019443114870787,0.4778143009239968,11.062358413676582,0.4231947606506112,0.8794142398538654
BAP1,3.2062128700618024,-5.179787973683941,1.6145335548709825,-1.9024281259551024,-0.324128308135544,0.9729351781485668,0.6433115681125388,-0.0529210775872991,0.0737364148407747,0.0029693701338855,-0.2245680937638826,-0.1345996850988097,-0.0115653091053744,-0.14073178198565,-0.0645346135324266,0.0261913558477483,0.0226656439047279,-0.0193627077924897,-0.0069937704633396,0.0149957830018309,-0.0085875112510514,0.0060493646623213,-0.0001040627874318,0.021537237550429,0.0064114022336143,0.0188771482788892,-0.0053189780014037,0.0110894181074131,-0.0111104769210152,-0.0017769475330857,0.0119360819275102,-0.0078613298864344,-0.0064367142759881,0.0034869941205286,-0.0039995729178471,-0.0096446267042717,0.0022227691330204,0.0003765246044217,-0.0005574378197449,0.0017888000275399,-0.0033833780349142,0.0002979160021737,0.0019632074296049,0.0011191869752549,0.0009034629606822,-0.0006971751527141,-0.002804915175361,0.0022159973428495,0.0032720585967698,0.0002736940697164,0.0038319466061323,0.0006977929180634,0.0006186610958434,-0.0006580131839448,-0.0010488072737905,-0.0015932823924469,0.0010247637822596,-0.0008443493768913,-0.00101906471774,0.000670863514624,0.0019243884509059,0.0011596542853556,-0.0008156645099794,-0.0005461911420533,-0.0004127928735223,0.0008554003380852,-0.000180848047075,0.0003209082954402,0.0005930901778416,6.929423089812193e-05,-0.0002636327798896,-9.382999689640398e-05,0.0001166149131302,-0.000338917150237,9.544795125923052e-05,0.0001185660901992,-3.888301099977129e-05,-0.000172116852921,-6.367958512584221e-05,-2.6742774676480508e-05,2.163831099195544e-05,2.132769821906027e-06,4.5570105386904806e-06,-0.0742330063518358,0.4046248821157359,8.790834997710038,0.5643798291796218,0.4039286002769341
