step,nmdetective_ai_val_correlation_smooth,ptc_lp_val_correlation_smooth,ptc_random_val_correlation_smooth
0,0.14021776190758473,0.08704488042661065,-0.001695111148844311
1,0.22594769538976384,0.14654230696963658,0.004137519388127127
2,0.2993135081092142,0.19516422700658576,-0.0007591644989134901
3,0.3451820688679569,0.20653950183386505,0.01145837056108139
4,0.3787996376203886,0.22945329967692424,0.026298888215739828
5,0.3974401921121602,0.2865946604935399,0.01993479871479601
6,0.4061474766167851,0.33474771759967664,0.0044932814510514965
7,0.41521365138509536,0.35897420606417396,0.011833468253302415
8,0.4315416665923637,0.3672333494368042,0.03420038581723002
9,0.458615672971458,0.3638475439778911,0.05122054830192409
10,0.49666775502381894,0.3632452376054778,0.0628672260354012
11,0.5351742490152607,0.373499703548167,0.06650200219061494
12,0.5550520706690374,0.3826522694238035,0.06659397192788649
13,0.5534680357790114,0.3869141384127546,0.07188882095652357
14,0.5474238981324215,0.3884706502591716,0.07849890408536306
15,0.5566823241306167,0.3908314360686413,0.08199131717139091
16,0.5827248701936283,0.39511315392335633,0.08395441719899044
17,0.5862218979796633,0.39828197125654163,0.08503564955895132
18,0.5746830751338614,0.4001154355180419,0.08573780264341918
19,0.5914804216683953,0.40083170965149184,0.0869104745747093
20,0.6190100708100532,0.4004225569792025,0.08819290808529306
21,0.6282171519983919,0.4000977261148414,0.08952743606618961
22,0.6291969719733834,0.4010742607742517,0.09109463328332766
23,0.6356282163171225,0.4012667354128657,0.09222907784124913
24,0.6379783082192676,0.3993090022115403,0.09221303189177188
25,0.6314825446300028,0.39764622852106535,0.0913192879478166
26,0.6246741636457102,0.39886090230424576,0.09018584660284756
27,0.6222143329025255,0.40001383471909685,0.08891665513824915
28,0.619664985909034,0.3993801631025263,0.0876054814795844
29,0.6193019243170241,0.3977020135079544,0.0870348073590729
30,0.6278812520822685,0.3969625444884036,0.08772015081912835
31,0.6400858127717057,0.3991109784263533,0.08868418674009959
32,0.648060132670504,0.40121389578680744,0.08812586888242258
33,0.6495038191519704,0.40138037507136504,0.08672214636617523
34,0.6484660034832774,0.4011537906942658,0.08559162666808989
35,0.6488772233026145,0.4019057047817014,0.08317856579536267
36,0.6497353301953859,0.4030831884397879,0.08005734673002343
37,0.6515458579298942,0.4037137582840159,0.07849095106620108
38,0.6520755286884847,0.4034238636138202,0.07708378572829029
39,0.6502967494338767,0.40170101043626916,0.0755711811989084
40,0.6509227444965082,0.3982969918859077,0.0740105420220428
41,0.655189819751221,0.39553839993666695,0.07100602910169732
42,0.6544825351786865,0.39540035011939934,0.06549495544418216
43,0.6506019659771848,0.3965328670340955,0.060583623310684565
44,0.6511180325845562,0.3980940699752583,0.06096273989334358
45,0.649280009537166,0.3989500184092566,0.06303331613838009
46,0.6388753161798961,0.39882931092495216,0.06265278354253985
47,0.6305991709335503,0.39696981446217994,0.061854148787758675
48,0.6350356782632582,0.39368150913644473,0.06295062264172684
49,0.6424808570815611,0.3908419317472919,0.06488744474927385
50,0.6490991402186466,0.3890324717274502,0.06585924220919329
51,0.6522818016640819,0.3890213856982741,0.06473904184739271
52,0.6472909185845204,0.3909620581979034,0.06261297966018216
53,0.6364962055345895,0.39241210976401075,0.061995083346412724
54,0.630680971906797,0.3923991936013336,0.0635724184344521
55,0.6376239024605758,0.39282243138391304,0.0649886773098168
56,0.6426436138375836,0.39470912215797255,0.06398554658778241
57,0.6350832436253564,0.39756589702477624,0.0625798864311003
58,0.6249352428304848,0.39794087313123583,0.06237277562298818
59,0.6211368677172384,0.3909848896241258,0.062293521575351306
60,0.6199264471232522,0.3800201987554781,0.06138326869826166
