Dataset,NMDetective-A R²,NMDetective-A Spearman,NMDetective-A Pearson,NMDetective-B R²,NMDetective-B Spearman,NMDetective-B Pearson,NMDetective-B_original R²,NMDetective-B_original Spearman,NMDetective-B_original Pearson,NMDetective-AI R²,NMDetective-AI Spearman,NMDetective-AI Pearson
"Somatic TCGA
(validation set)",0.3825236610732028,0.6382524513122563,0.6284067767564092,0.3623756721043154,0.6404056965701547,0.6169246968788971,0.18793194713455263,0.6404056965701547,0.5897631779132966,0.43352093973063444,0.6676320977804185,0.6612024474814641
Germline TCGA,0.3720910964903158,0.624474953621707,0.6193347900381796,0.3534249670617253,0.6220657125174729,0.5965258437317302,0.1604994200506571,0.6220657125174729,0.5989532089900858,0.3132490615380231,0.6418456355502823,0.6288915437259057
GTEx,0.23313374820691868,0.5247605172219365,0.48672065471631576,0.2218272658863576,0.5296793821703172,0.47375179562449643,0.10284435059532904,0.5296793821703172,0.48059319694363334,0.25442087965589877,0.5619684904692864,0.5266208465983073
